Bellman Ford with OpenMP results,,,,,
Dividing Over Nodes,,,,,
Graph, Thread Count, schedule type, schedule num, Exec Time (nanoseconds),SpeedUp
rmat22,4, dynamic,32,4271868438,0.466111564740094
rmat22,4, dynamic,128,5041267439,0.394973547048116
rmat22,4, dynamic,512,3042397233,0.654473143875621
rmat22,8, static,1,4336891219,0.459123178666935
rmat22,8, static,8,5120681722,0.388848085098775
rmat22,8, static,32,5835569870,0.341212139749429
rmat22,8, static,128,3109552160,0.640338923274405
rmat22,8, static,512,3278835098,0.607278872674798
rmat22,8, dynamic,1,4047503731,0.491949461775555
rmat22,8, dynamic,8,5296862681,0.375914461430608
rmat22,8, dynamic,32,4783397618,0.416266311315456
rmat22,8, dynamic,128,5256583573,0.378794944348923
rmat22,8, dynamic,512,4496329254,0.442842854586022
roadFLA, serial, N/A, N/A,38853117004,1
roadFLA,1, static,1,56669505637,0.685608892600476
roadFLA,1, static,8,56643221876,0.685927030935051
roadFLA,1, static,32,56864148432,0.683262091763527
roadFLA,1, static,128,56161229636,0.691813859059359
roadFLA,1, static,512,56145911232,0.692002608051999
roadFLA,1, dynamic,1,56149227273,0.691961740009251
roadFLA,1, dynamic,8,56152277233,0.691924155502753
roadFLA,1, dynamic,32,56162824956,0.69179420790245
roadFLA,1, dynamic,128,56146956615,0.691989723867244
roadFLA,1, dynamic,512,56634432908,0.686033478380813
roadFLA,2, static,1,31445627798,1.2355649966216
roadFLA,2, static,8,43304548917,0.897206366898501
roadFLA,2, static,32,31260900907,1.24286619632577
roadFLA,2, static,128,29439268879,1.31977180424189
roadFLA,2, static,512,26785058787,1.45055186598497
roadFLA,2, dynamic,1,42259944197,0.919384011083435
roadFLA,2, dynamic,8,20836745038,1.86464425864709
roadFLA,2, dynamic,32,21037966944,1.84680949007199
roadFLA,2, dynamic,128,26462451367,1.46823574525117
roadFLA,2, dynamic,512,20208611958,1.92260196221043
roadFLA,4, static,1,8952050052,4.34013625686998
roadFLA,4, static,8,84828717,458.018444437866
roadFLA,4, static,32,9073504738,4.28204074675604
roadFLA,4, static,128,9091963965,4.27334700770561
roadFLA,4, static,512,8512323348,4.56433753930749
roadFLA,4, dynamic,1,8737621253,4.44664696248536
roadFLA,4, dynamic,8,9003989681,4.31510012566839
roadFLA,4, dynamic,32,27903370,1392.41665089199
roadFLA,4, dynamic,128,8826274625,4.40198369694394
roadFLA,4, dynamic,512,8928044104,4.3518061236495
roadFLA,8, static,1,6590831542,5.89502504447412
roadFLA,8, static,8,6765097035,5.74317216781799
roadFLA,8, static,32,6562381832,5.92058158130047
roadFLA,8, static,128,6567673184,5.9158115691038
roadFLA,8, static,512,6542085923,5.93894935977593
roadFLA,8, dynamic,1,6797426731,5.71585668247198
roadFLA,8, dynamic,8,361832615,107.378703282456
roadFLA,8, dynamic,32,6760623658,5.74697231638153
roadFLA,8, dynamic,128,6510772059,5.96751301564803
roadFLA,8, dynamic,512,6892200354,5.6372587865138
roadNY, serial, N/A, N/A,2598752725,1
roadNY,1, static,1,3810587654,0.681982140542567
roadNY,1, static,8,3791988293,0.685327201509902
roadNY,1, static,32,3791463150,0.685422123910132
roadNY,1, static,128,3794689471,0.684839364290633
roadNY,1, static,512,3795303606,0.684728547379353
roadNY,1, dynamic,1,3813245215,0.68150684744254
roadNY,1, dynamic,8,3797807247,0.684277151520218
roadNY,1, dynamic,32,3792115920,0.685304136219549
roadNY,1, dynamic,128,3793584302,0.68503887566962
roadNY,1, dynamic,512,3793011505,0.685142325978787
roadNY,2, static,1,1740213279,1.49335300239368
roadNY,2, static,8,1730021983,1.50215011747628
roadNY,2, static,32,3025077190,0.859069888725715
roadNY,2, static,128,1759952614,1.47660380417492
roadNY,2, static,512,1758430161,1.4778822512474
roadNY,2, dynamic,1,1958433927,1.32695450644121
roadNY,2, dynamic,8,1964546093,1.32282603816718
roadNY,2, dynamic,32,3669270311,0.708247827152247
roadNY,2, dynamic,128,1920224447,1.35335883732762
roadNY,2, dynamic,512,2012518167,1.29129404524774
roadNY,4, static,1,1357557995,1.91428486633457
roadNY,4, static,8,917865166,2.83130117719273
roadNY,4, static,32,712756383,3.64606026264096
roadNY,4, static,128,740627282,3.50885362740391
roadNY,4, static,512,638306382,4.07132499107615
roadNY,4, dynamic,1,728792780,3.56583214916042
roadNY,4, dynamic,8,667183319,3.89511046063788
roadNY,4, dynamic,32,1060247729,2.45108068040955
roadNY,4, dynamic,128,1219386879,2.13119623456273
roadNY,4, dynamic,512,2066310578,1.25767769505171
roadNY,8, static,1,523089414,4.96808510255954
roadNY,8, static,8,565660077,4.59419504869883
roadNY,8, static,32,648296004,4.00858976295649
roadNY,8, static,128,5205477,499.234311284057
roadNY,8, static,512,547164603,4.7494898441009
roadNY,8, dynamic,1,588381067,4.41678509176095
roadNY,8, dynamic,8,381907835,6.80465936238255
roadNY,8, dynamic,32,419619398,6.19311866273637
roadNY,8, dynamic,128,400544005,6.4880579725566
roadNY,8, dynamic,512,950430059,2.73429138776849
,,,,,
Dividing Over Edges,,,,,
Graph, Thread Count, schedule type, schedule num, Exec Time (nanoseconds),
wiki-example, serial, N/A, N/A,1542,
wiki-example,1, static,1,2767,
wiki-example,1, static,8,3258,
wiki-example,1, static,32,3443,
wiki-example,1, static,128,3180,
wiki-example,1, static,512,3446,
wiki-example,1, dynamic,1,3073,
wiki-example,1, dynamic,8,2689,
wiki-example,1, dynamic,32,3466,
wiki-example,1, dynamic,128,2685,
wiki-example,1, dynamic,512,3411,
wiki-example,2, static,1,1959,
wiki-example,2, static,8,1907,
wiki-example,2, static,32,2088,
wiki-example,2, static,128,1960,
wiki-example,2, static,512,1993,
wiki-example,2, dynamic,1,1522,
wiki-example,2, dynamic,8,1516,
wiki-example,2, dynamic,32,1905,
wiki-example,2, dynamic,128,2057,
wiki-example,2, dynamic,512,2108,
wiki-example,4, static,1,1431,
wiki-example,4, static,8,2073,
wiki-example,4, static,32,2092,
wiki-example,4, static,128,1372,
wiki-example,4, static,512,1514,
wiki-example,4, dynamic,1,1566,
wiki-example,4, dynamic,8,1549,
wiki-example,4, dynamic,32,1201,
wiki-example,4, dynamic,128,1854,
wiki-example,4, dynamic,512,1371,
wiki-example,8, static,1,2135,
wiki-example,8, static,8,1827,
wiki-example,8, static,32,1639,
wiki-example,8, static,128,1248,
wiki-example,8, static,512,1433,
wiki-example,8, dynamic,1,1050,
wiki-example,8, dynamic,8,1599,
wiki-example,8, dynamic,32,1652,
wiki-example,8, dynamic,128,1767,
wiki-example,8, dynamic,512,1636,
rmat15, serial, N/A, N/A,6459791,
rmat15,1, static,1,13313446,
rmat15,1, static,8,13955553,
rmat15,1, static,32,9509102,
rmat15,1, static,128,9437035,
rmat15,1, static,512,12564455,
rmat15,1, dynamic,1,11830390,
rmat15,1, dynamic,8,13067140,
rmat15,1, dynamic,32,9408951,
rmat15,1, dynamic,128,12587615,
rmat15,1, dynamic,512,14307835,
rmat15,2, static,1,21181791,
rmat15,2, static,8,19998023,
rmat15,2, static,32,21952612,
rmat15,2, static,128,14403397,
rmat15,2, static,512,19922064,
rmat15,2, dynamic,1,21381440,
rmat15,2, dynamic,8,23036239,
rmat15,2, dynamic,32,21340032,
rmat15,2, dynamic,128,22209411,
rmat15,2, dynamic,512,37283458,
rmat15,4, static,1,13675222,
rmat15,4, static,8,12131285,
rmat15,4, static,32,14062132,
rmat15,4, static,128,15944951,
rmat15,4, static,512,15854572,
rmat15,4, dynamic,1,19798556,
rmat15,4, dynamic,8,13183465,
rmat15,4, dynamic,32,13686262,
rmat15,4, dynamic,128,25378233,
rmat15,4, dynamic,512,14949523,
rmat15,8, static,1,16008830,
rmat15,8, static,8,36464261,
rmat15,8, static,32,33372755,
rmat15,8, static,128,19619844,
rmat15,8, static,512,6464775,
rmat15,8, dynamic,1,39163800,
rmat15,8, dynamic,8,17090408,
rmat15,8, dynamic,32,44310240,
rmat15,8, dynamic,128,25375076,
rmat15,8, dynamic,512,31956446,
