Bellman Ford with OpenMP results
Dividing Over Nodes
Graph, Thread Count, schedule type, schedule num, Exec Time (nanoseconds)
roadFLA, 2, static, 32, 31260900907
roadFLA, 2, static, 128, 29439268879
roadFLA, 2, static, 512, 26785058787
roadFLA, 2, dynamic, 1, 42259944197
roadFLA, 2, dynamic, 8, 20836745038
roadFLA, 2, dynamic, 32, 21037966944
roadFLA, 2, dynamic, 128, 26462451367
roadFLA, 2, dynamic, 512, 20208611958
roadFLA, 4, static, 1, 8952050052
roadFLA, 4, static, 8, 84828717
roadFLA, 4, static, 32, 9073504738
roadFLA, 4, static, 128, 9091963965
roadFLA, 4, static, 512, 8512323348
roadFLA, 4, dynamic, 1, 8737621253
roadFLA, 4, dynamic, 8, 9003989681
roadFLA, 4, dynamic, 32, 27903370
roadFLA, 4, dynamic, 128, 8826274625
roadFLA, 4, dynamic, 512, 8928044104
roadFLA, 8, static, 1, 6590831542
roadFLA, 8, static, 8, 6765097035
roadFLA, 8, static, 32, 6562381832
roadFLA, 8, static, 128, 6567673184
roadFLA, 8, static, 512, 6542085923
roadFLA, 8, dynamic, 1, 6797426731
roadFLA, 8, dynamic, 8, 361832615
roadFLA, 8, dynamic, 32, 6760623658
roadFLA, 8, dynamic, 128, 6510772059
roadFLA, 8, dynamic, 512, 6892200354
roadNY, serial, N/A, N/A, 2598752725
roadNY, 1, static, 1, 3810587654
roadNY, 1, static, 8, 3791988293
roadNY, 1, static, 32, 3791463150
roadNY, 1, static, 128, 3794689471
roadNY, 1, static, 512, 3795303606
roadNY, 1, dynamic, 1, 3813245215
roadNY, 1, dynamic, 8, 3797807247
roadNY, 1, dynamic, 32, 3792115920
roadNY, 1, dynamic, 128, 3793584302
roadNY, 1, dynamic, 512, 3793011505
roadNY, 2, static, 1, 1740213279
roadNY, 2, static, 8, 1730021983
roadNY, 2, static, 32, 3025077190
roadNY, 2, static, 128, 1759952614
roadNY, 2, static, 512, 1758430161
roadNY, 2, dynamic, 1, 1958433927
roadNY, 2, dynamic, 8, 1964546093
roadNY, 2, dynamic, 32, 3669270311
roadNY, 2, dynamic, 128, 1920224447
roadNY, 2, dynamic, 512, 2012518167
roadNY, 4, static, 1, 1357557995
roadNY, 4, static, 8, 917865166
roadNY, 4, static, 32, 712756383
roadNY, 4, static, 128, 740627282
roadNY, 4, static, 512, 638306382
roadNY, 4, dynamic, 1, 728792780
roadNY, 4, dynamic, 8, 667183319
roadNY, 4, dynamic, 32, 1060247729
roadNY, 4, dynamic, 128, 1219386879
roadNY, 4, dynamic, 512, 2066310578
roadNY, 8, static, 1, 523089414
roadNY, 8, static, 8, 565660077
roadNY, 8, static, 32, 648296004
roadNY, 8, static, 128, 5205477
roadNY, 8, static, 512, 547164603
roadNY, 8, dynamic, 1, 588381067
roadNY, 8, dynamic, 8, 381907835
roadNY, 8, dynamic, 32, 419619398
roadNY, 8, dynamic, 128, 400544005
roadNY, 8, dynamic, 512, 950430059

Dividing Over Edges
Graph, Thread Count, schedule type, schedule num, Exec Time (nanoseconds)
wiki-example, serial, N/A, N/A, 1542
wiki-example, 1, static, 1, 2767
wiki-example, 1, static, 8, 3258
wiki-example, 1, static, 32, 3443
wiki-example, 1, static, 128, 3180
wiki-example, 1, static, 512, 3446
wiki-example, 1, dynamic, 1, 3073
wiki-example, 1, dynamic, 8, 2689
wiki-example, 1, dynamic, 32, 3466
wiki-example, 1, dynamic, 128, 2685
wiki-example, 1, dynamic, 512, 3411
wiki-example, 2, static, 1, 1959
wiki-example, 2, static, 8, 1907
wiki-example, 2, static, 32, 2088
wiki-example, 2, static, 128, 1960
wiki-example, 2, static, 512, 1993
wiki-example, 2, dynamic, 1, 1522
wiki-example, 2, dynamic, 8, 1516
wiki-example, 2, dynamic, 32, 1905
wiki-example, 2, dynamic, 128, 2057
wiki-example, 2, dynamic, 512, 2108
wiki-example, 4, static, 1, 1431
wiki-example, 4, static, 8, 2073
wiki-example, 4, static, 32, 2092
wiki-example, 4, static, 128, 1372
wiki-example, 4, static, 512, 1514
wiki-example, 4, dynamic, 1, 1566
wiki-example, 4, dynamic, 8, 1549
wiki-example, 4, dynamic, 32, 1201
wiki-example, 4, dynamic, 128, 1854
wiki-example, 4, dynamic, 512, 1371
wiki-example, 8, static, 1, 2135
wiki-example, 8, static, 8, 1827
wiki-example, 8, static, 32, 1639
wiki-example, 8, static, 128, 1248
wiki-example, 8, static, 512, 1433
wiki-example, 8, dynamic, 1, 1050
wiki-example, 8, dynamic, 8, 1599
wiki-example, 8, dynamic, 32, 1652
wiki-example, 8, dynamic, 128, 1767
wiki-example, 8, dynamic, 512, 1636
rmat15, serial, N/A, N/A, 6459791
rmat15, 1, static, 1, 13313446
rmat15, 1, static, 8, 13955553
rmat15, 1, static, 32, 9509102
rmat15, 1, static, 128, 9437035
rmat15, 1, static, 512, 12564455
rmat15, 1, dynamic, 1, 11830390
rmat15, 1, dynamic, 8, 13067140
rmat15, 1, dynamic, 32, 9408951
rmat15, 1, dynamic, 128, 12587615
rmat15, 1, dynamic, 512, 14307835
rmat15, 2, static, 1, 21181791
rmat15, 2, static, 8, 19998023
rmat15, 2, static, 32, 21952612
rmat15, 2, static, 128, 14403397
rmat15, 2, static, 512, 19922064
rmat15, 2, dynamic, 1, 21381440
rmat15, 2, dynamic, 8, 23036239
rmat15, 2, dynamic, 32, 21340032
rmat15, 2, dynamic, 128, 22209411
rmat15, 2, dynamic, 512, 37283458
rmat15, 4, static, 1, 13675222
rmat15, 4, static, 8, 12131285
rmat15, 4, static, 32, 14062132
rmat15, 4, static, 128, 15944951
rmat15, 4, static, 512, 15854572
rmat15, 4, dynamic, 1, 19798556
rmat15, 4, dynamic, 8, 13183465
rmat15, 4, dynamic, 32, 13686262
rmat15, 4, dynamic, 128, 25378233
rmat15, 4, dynamic, 512, 14949523
rmat15, 8, static, 1, 16008830
rmat15, 8, static, 8, 36464261
rmat15, 8, static, 32, 33372755
rmat15, 8, static, 128, 19619844
rmat15, 8, static, 512, 6464775
rmat15, 8, dynamic, 1, 39163800
rmat15, 8, dynamic, 8, 17090408
rmat15, 8, dynamic, 32, 44310240
rmat15, 8, dynamic, 128, 25375076
rmat15, 8, dynamic, 512, 31956446
rmat22, serial, N/A, N/A, 1903053933
rmat22, 1, static, 1, 3345361574
rmat22, 1, static, 8, 2842339795
rmat22, 1, static, 32, 2598361717
rmat22, 1, static, 128, 2684366876
rmat22, 1, static, 512, 2492983200
rmat22, 1, dynamic, 1, 2653983017
rmat22, 1, dynamic, 8, 2590588767
rmat22, 1, dynamic, 32, 2595064712
rmat22, 1, dynamic, 128, 2625204281
rmat22, 1, dynamic, 512, 2663718883
rmat22, 2, static, 1, 5329490486
rmat22, 2, static, 8, 3768955526
rmat22, 2, static, 32, 3865565369
rmat22, 2, static, 128, 4959212294
rmat22, 2, static, 512, 4175768130
rmat22, 2, dynamic, 1, 5459022969
rmat22, 2, dynamic, 8, 4237073312
rmat22, 2, dynamic, 32, 4232724204
rmat22, 2, dynamic, 128, 3648148835
rmat22, 2, dynamic, 512, 5072121177
rmat22, 4, static, 1, 4372145140
rmat22, 4, static, 8, 5459339090
rmat22, 4, static, 32, 5610002074
rmat22, 4, static, 128, 5868940938
rmat22, 4, static, 512, 4303435906
rmat22, 4, dynamic, 1, 4263068476
rmat22, 4, dynamic, 8, 4519127734
rmat22, 4, dynamic, 32, 6887409281
rmat22, 4, dynamic, 128, 4476844406
rmat22, 4, dynamic, 512, 4359722751
rmat22, 8, static, 1, 4301358014
rmat22, 8, static, 8, 4727103766
rmat22, 8, static, 32, 4798224966
rmat22, 8, static, 128, 4667402415
rmat22, 8, static, 512, 4294199812
rmat22, 8, dynamic, 1, 4604223282
rmat22, 8, dynamic, 8, 5873094449
rmat22, 8, dynamic, 32, 4753989369
rmat22, 8, dynamic, 128, 4672613241
rmat22, 8, dynamic, 512, 6593014756
roadFLA, serial, N/A, N/A, 24933451611
roadFLA, 1, static, 1, 35478353152
roadFLA, 1, static, 8, 35497052051
roadFLA, 1, static, 32, 35487405487
roadFLA, 1, static, 128, 35509463581
roadFLA, 1, static, 512, 35497410236
roadFLA, 1, dynamic, 1, 35481498581
roadFLA, 1, dynamic, 8, 35508592362
roadFLA, 1, dynamic, 32, 36038434041
roadFLA, 1, dynamic, 128, 35499716671
roadFLA, 1, dynamic, 512, 35515638614
roadFLA, 2, static, 1, 11864812219
roadFLA, 2, static, 8, 13206913892
roadFLA, 2, static, 32, 14747366051
roadFLA, 2, static, 128, 11366542029
roadFLA, 2, static, 512, 11288350532
roadFLA, 2, dynamic, 1, 11072263632
roadFLA, 2, dynamic, 8, 11587884658
roadFLA, 2, dynamic, 32, 20024360578
roadFLA, 2, dynamic, 128, 16090372951
roadFLA, 2, dynamic, 512, 12838386896
roadFLA, 4, static, 1, 7961786007
roadFLA, 4, static, 8, 8617876792
roadFLA, 4, static, 32, 8180237566
roadFLA, 4, static, 128, 8385130277
roadFLA, 4, static, 512, 8258668208
roadFLA, 4, dynamic, 1, 9316480610
roadFLA, 4, dynamic, 8, 8363823851
roadFLA, 4, dynamic, 32, 8585775927
roadFLA, 4, dynamic, 128, 8094418754
roadFLA, 4, dynamic, 512, 9019041402
roadFLA, 8, static, 1, 7934990975
roadFLA, 8, static, 8, 5228396595
roadFLA, 8, static, 32, 7550938249
roadFLA, 8, static, 128, 8550335566
roadFLA, 8, static, 512, 7508284657
roadFLA, 8, dynamic, 1, 7535436483
roadFLA, 8, dynamic, 8, 7319650808
roadFLA, 8, dynamic, 32, 8902430295
roadFLA, 8, dynamic, 128, 5256794349
roadFLA, 8, dynamic, 512, 5754374103
roadNY, serial, N/A, N/A, 1788119614
roadNY, 1, static, 1, 2469661670
roadNY, 1, static, 8, 2473822406
roadNY, 1, static, 32, 2477026126
roadNY, 1, static, 128, 2522154504
roadNY, 1, static, 512, 2470144125
roadNY, 1, dynamic, 1, 2475680372
roadNY, 1, dynamic, 8, 2516209331
roadNY, 1, dynamic, 32, 2467351691
roadNY, 1, dynamic, 128, 2518051762
roadNY, 1, dynamic, 512, 2518325300
roadNY, 2, static, 1, 1688711824
roadNY, 2, static, 8, 1419020590
roadNY, 2, static, 32, 2481344914
roadNY, 2, static, 128, 1610019334
roadNY, 2, static, 512, 1545710714
roadNY, 2, dynamic, 1, 1472291726
roadNY, 2, dynamic, 8, 1755205939
roadNY, 2, dynamic, 32, 1814890954
roadNY, 2, dynamic, 128, 1545142729
roadNY, 2, dynamic, 512, 1628990394
roadNY, 4, static, 1, 641496728
roadNY, 4, static, 8, 2492112485
roadNY, 4, static, 32, 664109880
roadNY, 4, static, 128, 721811401
roadNY, 4, static, 512, 621030761
roadNY, 4, dynamic, 1, 629248146
roadNY, 4, dynamic, 8, 649253784
roadNY, 4, dynamic, 32, 675797276
roadNY, 4, dynamic, 128, 639181963
roadNY, 4, dynamic, 512, 651104469
roadNY, 8, static, 1, 457766762
roadNY, 8, static, 8, 679759019
roadNY, 8, static, 32, 442795631
roadNY, 8, static, 128, 372254859
roadNY, 8, static, 512, 756181922
roadNY, 8, dynamic, 1, 494133292
roadNY, 8, dynamic, 8, 870422856
roadNY, 8, dynamic, 32, 377877446
roadNY, 8, dynamic, 128, 404811212
roadNY, 8, dynamic, 512, 716162563
